a,b,c,d,e
546,NA,NA,NA,NA
547,NA,NA,NA,NA
548,NA,NA,NA,NA
549,NA,NA,NA,NA
550,NA,NA,NA,NA
551,NA,NA,NA,NA
552,NA,NA,NA,NA
553,NA,NA,NA,NA
554,NA,NA,NA,NA
555,NA,NA,NA,NA
556,NA,NA,NA,NA
557,NA,NA,NA,NA
558,NA,NA,NA,NA
559,NA,NA,NA,NA
560,NA,NA,NA,NA
561,NA,NA,NA,NA
562,NA,NA,NA,NA
563,NA,NA,NA,NA
564,NA,NA,NA,NA
565,NA,NA,NA,NA
566,NA,NA,NA,NA
567,NA,NA,NA,NA
568,NA,NA,NA,NA
569,NA,NA,NA,NA
571,NA,NA,,NA
573,NA,NA,,NA
574,NA,NA,,NA
575,NA,NA,,NA
578,NA,NA,,NA
579,NA,NA,,NA
580,NA,NA,,NA
581,NA,NA,,NA
582,NA,NA,,NA
397,NA,NA,,NA
,,,,NA
,,,,NA
,,,,NA
,,,,NA
,,,,NA
,,,,NA
,,,,NA
,,,,NA
,,,,NA
,,,,NA
